,Batch,Accuracy,Average Loss
0,28,85.87,0.561030897555078
1,64,88.4,0.429035438378905
2,128,89.08,0.3962086238868677
3,256,89.24,0.3835940663079927
4,512,89.36,0.3778138707872409
