,Optimizer,Accuracy,Average Loss
0,SGD,72.02,1.592876649965906
1,Adam,97.72999999999999,0.07985729990510536
2,RMSprop,98.06,0.08645873102126365
3,Adagrad,94.0,0.20834705481531135
